"ENZYME"	"Substrate"	"Substrate_Name"	"Product"	"Product_Name"	"Organism_id"	"Substrate_Coef"	"Product_Coef"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O1"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O2"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O3"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O4"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O5"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O6"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O7"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O8"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O9"	"4"	"3"
"EC1"	"C1"	"MER_NAME_C1"	"C2"	"MER_NAME_C2"	"O10"	"4"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O1"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O2"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O3"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O4"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O5"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O6"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O7"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O8"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O9"	"5"	"3"
"EC2"	"C2"	"MER_NAME_C2"	"C3"	"MER_NAME_C3"	"O10"	"5"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O1"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O2"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O3"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O4"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O5"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O6"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O7"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O8"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O9"	"3"	"3"
"EC3"	"C3"	"MER_NAME_C3"	"C4"	"MER_NAME_C4"	"O10"	"3"	"3"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O1"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O2"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O3"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O4"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O5"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O6"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O7"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O8"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O9"	"5"	"5"
"EC4"	"C4"	"MER_NAME_C4"	"C5"	"MER_NAME_C5"	"O10"	"5"	"5"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O1"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O2"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O3"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O4"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O5"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O6"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O7"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O8"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O9"	"4"	"2"
"EC5"	"C5"	"MER_NAME_C5"	"C6"	"MER_NAME_C6"	"O10"	"4"	"2"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O1"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O2"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O3"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O4"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O5"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O6"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O7"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O8"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O9"	"4"	"4"
"EC6"	"C6"	"MER_NAME_C6"	"C7"	"MER_NAME_C7"	"O10"	"4"	"4"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O1"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O2"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O3"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O4"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O5"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O6"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O7"	"5"	"1"
"EC7"	"C7"	"MER_NAME_C7"	"C8"	"MER_NAME_C8"	"O8"	"5"	"1"
