AMMONIUM C01342
D-ALANINE C00133
WATER C00001
PROTON C00080
PYRUVATE C00022
ACET C00033
CARBON-DIOXIDE C00011
L-DELTA1-PYRROLINE_5-CARBOXYLATE C03912
PRO C00148
4-HYDROXY-L-PROLINE C01015
PYRROLINE-HYDROXY-CARBOXYLATE C04281
D-LACTATE C00256
OROTATE C00295
DI-H-OROTATE C00337
OXYGEN-MOLECULE C00007
FUM C00122
SUC C00042
NAD C00003
NADH C00004
DIHYDROXY-ACETONE-PHOSPHATE C00111
GLYCEROL-3P C00093
ZN+2 C00038
GLC-1-P C00103
ALPHA-GLC-6-P C00668
CPD-55 C01838
FORMATE C00058
HEPTADECANE-CPD C01816
NADP C00006
NADPH C00005
NITRIC-OXIDE C00533
NITROGEN-MOLECULE C00697
2-DEHYDROPANTOATE C00966
L-PANTOATE C00522
ATP C00002
ADP C00008
DGMP C00362
DEOXYGUANOSINE C00330
CPD-667 C01077
HOMO-CYS C00155
HS C00283
DAMP C00360
DEOXYADENOSINE C00559
DGDP C00361
DADP C00206
PYRIDOXAMINE-5P C00647
PYRIDOXAMINE C00534
CPD-564 C03539
DIHYDROXYPENTANEDIONE C11838
CPD-13713 C05686
AMP C00020
SELENITE SELENITE
GLUTATHIONE C00051
OXIDIZED-GLUTATHIONE C00127
CPD-13908 C18870
CPD-13909 C18871
CPD-678 CPD-678
SUCROSE C00089
1-KESTOTRIOSE C03661
GLC C00221
NYSTOSE NYSTOSE
6G-KESTOTETRAOSE 6G-KESTOTETRAOSE
ACRYLONITRILE C01998
ACRYLAMIDE C01659
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET C11436
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE C11453
CMP C00055
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE C11434
PPI C00013
CTP C00063
4-CYTIDINE-5-DIPHOSPHO-2-C C11435
CO-A C00010
L-1-LYSOPHOSPHATIDATE L-1-LYSOPHOSPHATIDATE
OLEOYL-COA C00510
CPD-15924 CPD-15924
3-UREIDO-PROPIONATE C02642
B-ALANINE C00099
DI-H-URACIL C00429
DELTA3-ISOPENTENYL-PP C00129
CPD-4211 C00235
CARBAMOYL-P C00169
ACETYL-COA C00024
GLT C00025
ACETYL-GLU C00624
PYRIDOXINE-5P C00627
PYRIDOXINE C00314
PYRIDOXAL_PHOSPHATE C00018
PYRIDOXAL C00250
3-HYDROXY-PROPIONATE C01013
MALONATE-S-ALD C00222
VANILLATE C06672
VANILLIN C00755
ERYTHROSE-4P C00279
ERYTHRONATE-4P C03393
3OH-4P-OH-ALPHA-KETOBUTYRATE C06054
L-GULONO-1-4-LACTONE C01040
CPD-329 C03289
HYDROGEN-PEROXIDE C00027
CPD-15530 CPD-15530
L-GULONATE C00800
ASCORBATE C00072
PROPIONATE C00163
PROPIONYL-P C02876
2-OXOBUTANOATE C00109
PROPIONYL-COA C00100
FMN C00061
FAD C00016
RIBULOSE-5P C00199
DIHYDROXY-BUTANONE-P C15556
CPD-602 C01268
CPD-1086 C04454
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR C01304
INDOLEYL-CPD C02938
CPD-237 C02693
GLY C00037
CPD-12279 CPD-12279
HOMO-SER C00263
O-SUCCINYL-L-HOMOSERINE C01118
SUC-COA C00091
CYS C00097
L-CYSTATHIONINE C02291
CPD-783 C04642
CPD-784 C04186
CPD-785 C04052
CPD-804 C05601
SUCC-S-ALD C00232
CPD-787 C05600
CPD-339 C01218
CPD-377 C06473
CPD-2961 C00345
25-DIDEHYDRO-D-GLUCONATE C02780
5-DEHYDROGLUCONATE C01062
CPD-13059 C15673
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI C04409
QUINOLINATE C03722
NICOTINAMIDE_NUCLEOTIDE C00455
NICOTINATE_NUCLEOTIDE C01185
CPD-233 C01142
CPD-1067 C01186
3-KETOBUTYRATE C00164
CPD-672 C05231
CPD-159 C03656
CROTONYL-COA C00877
ACETOACETYL-COA C00332
BUTYRIC_ACID C00246
BUTYRYL-COA C00136
10-FORMYL-THF C00234
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE C04734
THF C00101
AICAR C04677
PHOSPHORIBOSYL-FORMIMINO-AICAR-P C04896
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P C04916
PANTETHEINE-P C01134
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE C04352
HIS C00135
UROCANATE C00785
N-FORMIMINO-L-GLUTAMATE C00439
CPD-600 C01045
4-IMIDAZOLONE-5-PROPIONATE C03680
S-ADENOSYLMETHIONINE C00019
5-METHYLTHIOADENOSINE C00170
CPD-68 C01234
S-ALLANTOIN C02350
ALLANTOATE C00499
CPD0-2298 CPD0-2298
CPD-1091 C00603
GLUTAMATE-1-SEMIALDEHYDE C03741
5-AMINO-LEVULINATE C00430
5-METHYL-THF C00440
TRIMETHYLSULFONIUM C01008
CPD-7670 C00580
METHYLENE-THF C00143
5-10-METHENYL-THF C00445
HMP C01279
AMINO-HYDROXYMETHYL-METHYL-PYR-P C04556
4-AMINO-BUTYRATE C00334
2-KETOGLUTARATE C00026
CPD-9421 CPD-9421
CPD-1136 C04225
CPD-618 C04593
DIVINYL-PROTOCHLOROPHYLLIDE-A C11831
MONO-VINYL-PROTOCHLOROPHYLLIDE-A C02880
CHLOROPHYLLIDE-A C02139
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M C11830
13-HYDROXY-MAGNESIUM-PROTOPORP C11829
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER C04536
HYDROGEN-MOLECULE C00282
OH-PYR C00168
GLYCERATE C00258
GLYOX C00048
SER C00065
FORMALDEHYDE C00067
L-SORBOSONE C19679
CPD-9055 CPD-9055
CPD-9056 CPD-9056
ARG C00062
CPD-421 C03296
N2-SUCCINYLORNITHINE C03415
CPD-822 C05932
CDP-CHOLINE C00307
CMP-KDO C04121
KDO2-LIPID-IVA C06025
KDO-LIPID-IVA C06024
4-AMINO-BUTYRALDEHYDE C00555
PUTRESCINE C00134
AGMATHINE C00179
CREATINE C00300
SARCOSINE C00213
UREA C00086
L-GLUTAMATE_GAMMA-SEMIALDEHYDE C01165
L-ORNITHINE C00077
DUMP C00365
DIHYDROFOLATE C00415
TMP C00364
DIHYDRONEOPTERIN-P3 C04895
DIHYDRONEOPTERIN-P C05925
CPD-208 C04348
ACRYLYL-COA C00894
3-HYDROXY-PROPIONYL-COA C05668
D-BETA-D-HEPTOSE-17-DIPHOSPHATE C11472
ADP-D-GLYCERO-D-MANNO-HEPTOSE C06397
D-BETA-D-HEPTOSE-1-P D-BETA-D-HEPTOSE-1-P
CREATININE C00791
N-METHYLHYDANTOIN C02565
RIBOFLAVIN C00255
C1 C04882
CPD-11997 CPD-11997
UMP C00105
CPD-11994 CPD-11994
CPD-12260 CPD-12260
CPD-11999 CPD-11999
CPD-11984 CPD-11984
CPD-12000 CPD-12000
GLYCEROL C00116
DIHYDROXYACETONE C00184
N-SUCCINYLLL-2-6-DIAMINOPIMELATE C04421
N-SUCCINYL-2-AMINO-6-KETOPIMELATE C04462
CPD-14443 CPD-14443
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE C03972
CHORISMATE C00251
ISOCHORISMATE C00885
DIHYDRO-DIOH-BENZOATE C04171
2-3-DIHYDROXYBENZOATE C00196
CPD-13680 CPD-13680
CPD-13708 C04793
3-HYDROXY-5917-TRIOXO-45910-DISECOA C04844
CPD-13711 CPD-13711
CPD-13712 CPD-13712
CPD-13722 CPD-13722
CPD-665 C00479
CPD-13754 CPD-13754
CPD-13755 CPD-13755
CPD-13756 CPD-13756
CPD-13757 CPD-13757
CPD-13758 CPD-13758
AMINO-OXOBUT C03508
THR C00188
CPD-675 C06320
CPD-679 C06319
L-CARNITINYL-COA L-CARNITINYL-COA
CROTONOBETAINYL-COA CROTONOBETAINYL-COA
CPD0-881 C16698
GLUCONATE C00257
L-IDONATE C00770
BETA-D-FRUCTOSE C02336
CPD-12575 CPD-12575
UDP C00015
ALPHA-GLUCOSE C00267
GLC-6-P C01172
FRUCTOSE-6P FRUCTOSE-6P
FRUCTOSE-16-DIPHOSPHATE C00354
ACETYL-P C00227
MAL C00149
SUCROSE-6P C02591
CPD-15382 CPD-15382
N-ACETYL-D-GLUCOSAMINE-1-P C04256
UTP C00075
UDP-N-ACETYL-D-GLUCOSAMINE C00043
CPD-13469 CPD-13469
OXALACETIC_ACID C00036
ACETALD C00084
CPD-10189 CPD-10189
HYDRPHENYLAC-CPD C03765
4-HYDROXYPHENYLACETATE C00642
CPD-58 C04227
1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN C04548
METHYLAMINE C00218
CPD-16176 CPD-16176
CPD-16177 CPD-16177
CPD-16178 CPD-16178
CPD-16179 CPD-16179
2-KETO-ISOVALERATE C00141
CPD-7000 CPD-7000
L-ALPHA-ALANINE C00041
VAL C00183
FADH2 C01352
METHACRYLYL-COA C03460
ISOBUTYRYL-COA C00630
CPD-12173 C06000
CH3-MALONATE-S-ALD C06002
CPD-466 C03284
OH-MYRISTOYL C04652
BISOHMYR-GLUCOSAMINYL-1P C04824
3-DEHYDRO-SHIKIMATE C02637
SHIKIMATE C00493
4-MALEYL-ACETOACETATE C01036
4-FUMARYL-ACETOACETATE C01061
P-HYDROXY-PHENYLPYRUVATE C01179
TYR C00082
ADENOSYLCOBINAMIDE-P C06509
ADENOSYLCOBINAMIDE-GDP C06510
GTP C00044
CPD-9042 C16242
CPD-9047 C16243
CPD-9045 C11545
CPD-9049 C05773
CO+2 C00175
COBALT-SIROHYDROCHLORIN C11538
SIROHYDROCHLORIN C05778
DEHYDROQUINATE C00944
UDP-OHMYR-ACETYLGLUCOSAMINE C04738
UDP-OHMYR-GLUCOSAMINE C06022
2-KETO-3-METHYL-VALERATE C00671
ILE C00407
2K-4CH3-PENTANOATE C00233
LEU C00123
IMIDAZOLE_ACETALDEHYDE C05130
4-IMIDAZOLEACETATE C02835
INDOLE_ACETALDEHYDE C00637
INDOLE_ACETATE_AUXIN C00954
5-HYDROXYINDOLE_ACETALDEHYDE C05634
5-HYDROXYINDOLE_ACETATE C05635
DIHYDROXYPHENYLGLYCOLALDEHYDE C05577
CPD-11879 C05580
CPD-11876 C05583
VANILLYL_MANDELATE C05584
2-TRANS6-TRANS-FARNESAL C03461
CPD-12585 C16502
CPD-14926 CPD-14926
CPD-14927 CPD-14927
34-DIHYDROXYPHENYLACETALDEHYDE C04043
CPD-782 C01161
CPD-15163 C05985
CPD-661 C00804
D-GLUCURONOLACTONE C06430
D-GLUCARATE C00818
GAP C00118
G3P C00197
CPD-10472 CPD-10472
SS-DIMETHYL-BETA-PROPIOTHETIN C04022
HCN C01326
FORMAMIDE C00488
THREO-DS-ISO-CITRATE C00451
OXALO-SUCCINATE C05379
ETOH C00469
METOH C00132
CPD0-1080 CPD0-1080
CPD0-1081 CPD0-1081
CPD0-1082 CPD0-1082
CPD-15184 CPD-15184
NACMUR C02713
URATE C00366
XANTHINE C00385
HYPOXANTHINE C00262
CARNITINE C00318
GAMMA-BUTYROBETAINE C01181
GAMMA-BUTYROBETAINYL-COA GAMMA-BUTYROBETAINYL-COA
CDP-D-GLUCOSE C00501
CPD-12769 CPD-12769
CPD-12771 CPD-12771
UDP-GLUCURONATE C00167
ARABINOSE-5P C01112
LL-DIAMINOPIMELATE C00666
MESO-DIAMINOPIMELATE C00680
PHOSPHO-ENOL-PYRUVATE C00074
CPD0-882 CPD0-882
CPD-14553 C00052
CPD-11998 CPD-11998
C6 C05898
CPD-12231 CPD-12231
UNDECAPRENYL-DIPHOSPHATE C04574
CPD-12307 CPD-12307
CPD-12308 CPD-12308
CPD-12295 CPD-12295
CPD-12310 CPD-12310
FMNH2 C01847
PRPP C00119
URACIL C00106
CARBAMOYL-SARCOSINE C01043
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P C01302
INDOLE-3-GLYCEROL-P C03506
APS C00224
PAPS C00053
CPD-9699 C08287
CPD-9700 C08280
CYS-GLY C01419
CPD-369 C01507
CPD-15616 CPD-15616
IMINOASPARTATE C05840
L-ASPARTATE C00049
H2CO3 C01353
HCO3 C00288
DIHYDRO-NEO-PTERIN C04874
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE C01300
GLYCOLALDEHYDE C00266
CPD-11770 CPD-11770
FARNESYL-PP C00448
PROTOHEME C00032
FE+2 C14818
SIROHEME C00748
DIHYDROSIROHYDROCHLORIN C02463
IMP C00130
XANTHOSINE-5-PHOSPHATE C00655
ADENOSYLCOBALAMIN C00194
ALPHA-RIBAZOLE C05775
GMP C00144
ADENOSYLCOBALAMIN-5-P ADENOSYLCOBALAMIN-5-P
ALPHA-RIBAZOLE-5-P C04778
DIMETHYLBENZIMIDAZOLE C03114
NIACINE C00253
LYS C00047
