"usable org"
"O1" "O3" "O5" "O7" "O9" "O4" "O10"
"ORG" "MER"
"O1" "C22"
"O1" "C24"
"O1" "C26"
"O1" "C28"
"O1" "C27"
"O2" "C22"
"O2" "C24"
"O2" "C26"
"O2" "C28"
"O2" "C27"
"O3" "C22"
"O3" "C24"
"O3" "C26"
"O3" "C28"
"O3" "C27"
"O4" "C22"
"O4" "C24"
"O4" "C26"
"O4" "C28"
"O4" "C27"
"O5" "C22"
"O5" "C24"
"O5" "C26"
"O5" "C28"
"O5" "C27"
"O6" "C22"
"O6" "C24"
"O6" "C26"
"O6" "C28"
"O6" "C27"
"O7" "C22"
"O7" "C24"
"O7" "C26"
"O7" "C28"
"O7" "C27"
"O8" "C22"
"O8" "C24"
"O8" "C26"
"O8" "C28"
"O8" "C27"
"O9" "C22"
"O9" "C24"
"O9" "C26"
"O9" "C28"
"O9" "C27"
"O10" "C22"
"O10" "C24"
"O10" "C26"
"O10" "C28"
"O10" "C27"
"O1" "C12"
"O1" "C13"
"O1" "C14"
"O1" "C20"
"O1" "C21"
"O1" "C26"
"O2" "C14"
"O3" "C14"
"O3" "C15"
"O3" "C16"
"O3" "C19"
"O3" "C25"
"O3" "C27"
"O4" "C13"
"O4" "C15"
"O4" "C22"
"O4" "C25"
"O4" "C27"
"O5" "C10"
"O5" "C16"
"O5" "C18"
"O5" "C27"
"O6" "C12"
"O7" "C12"
"O7" "C18"
"O7" "C24"
"O8" "C21"
"O8" "C22"
"O8" "C24"
"O8" "C27"
"O9" "C14"
"O9" "C18"
"O9" "C25"
"O9" "C26"
"O10" "C16"
"O10" "C17"
"O10" "C18"
"O10" "C24"
